,Crossing
0,77
1,85
2,75
3,77
4,15
5,17
6,92
7,62
8,81
9,85
10,64
11,68
12,66
13,82
14,13
15,14
16,78
17,83
18,70
19,58
20,13
21,68
22,75
23,80
24,82
25,87
26,72
27,81
28,55
29,70
30,86
31,13
32,12
33,77
34,46
35,72
36,88
37,85
38,15
39,62
40,85
41,79
42,77
43,69
44,90
45,82
46,77
47,78
48,60
49,57
50,80
51,80
52,77
53,52
54,73
55,75
56,55
57,86
58,79
59,80
60,44
61,76
62,80
63,73
64,68
65,81
66,85
67,83
68,20
69,80
70,76
71,72
72,36
73,30
74,81
75,84
76,11
77,27
78,9
79,52
80,71
81,77
82,74
83,64
84,84
85,63
86,65
87,45
88,47
89,75
90,48
91,55
92,75
93,85
94,81
95,61
96,68
97,46
98,73
99,72
100,51
101,81
102,81
103,85
104,83
105,17
106,90
107,30
108,68
109,79
110,72
111,69
112,72
113,69
114,83
115,81
116,53
117,83
118,73
119,19
120,78
121,19
122,49
123,11
124,64
125,77
126,78
127,11
128,29
129,78
130,84
131,81
132,12
133,78
134,83
135,76
136,68
137,72
138,24
139,60
140,85
141,70
142,76
143,45
144,11
145,65
146,82
147,40
148,54
149,19
150,77
151,66
152,60
153,60
154,62
155,47
156,80
157,58
158,69
159,76
160,75
161,79
162,66
163,82
164,50
165,80
166,77
167,14
168,78
169,78
170,50
171,74
172,77
173,11
174,74
175,78
176,65
177,38
178,64
179,59
180,68
181,75
182,77
183,73
184,72
185,44
186,58
187,14
188,80
189,84
190,12
191,69
192,86
193,62
194,12
195,83
196,52
197,38
198,85
199,18
200,57
201,11
202,90
203,12
204,12
205,78
206,81
207,79
208,36
209,67
210,72
211,12
212,49
213,80
214,35
215,87
216,77
217,83
218,77
219,61
220,70
221,64
222,85
223,42
224,84
225,45
226,60
227,73
228,25
229,69
230,75
231,35
232,51
233,77
234,83
235,52
236,83
237,75
238,82
239,66
240,81
241,54
242,64
243,54
244,60
245,54
246,80
247,84
248,82
249,73
250,74
251,76
252,49
253,63
254,78
255,78
256,72
257,60
258,81
259,50
260,68
261,67
262,74
263,64
264,72
265,12
266,13
267,69
268,70
269,63
270,28
271,14
272,18
273,10
274,77
275,78
276,74
277,83
278,11
279,13
280,40
281,77
282,75
283,24
284,70
285,78
286,55
287,75
288,77
289,78
290,40
291,79
292,80
293,67
294,86
295,74
296,72
297,73
298,17
299,83
300,68
301,46
302,70
303,65
304,11
305,75
306,75
307,78
308,76
309,83
310,67
311,79
312,65
313,72
314,67
315,70
316,78
317,78
318,17
319,70
320,25
321,73
322,77
323,76
324,72
325,55
326,80
327,17
328,82
329,82
330,11
331,75
332,79
333,55
334,76
335,73
336,74
337,68
338,79
339,52
340,53
341,73
342,73
343,15
344,74
345,62
346,82
347,50
348,56
349,76
350,90
351,86
352,81
353,79
354,81
355,70
356,36
357,36
358,15
359,36
360,81
361,80
362,82
363,75
364,49
365,83
366,82
367,34
368,78
369,73
370,62
371,81
372,39
373,17
374,65
375,79
376,72
377,61
378,67
379,73
380,82
381,77
382,60
383,71
384,79
385,69
386,11
387,71
388,50
389,50
390,70
391,86
392,58
393,50
394,56
395,43
396,36
397,55
398,72
399,30
400,69
401,72
402,74
403,78
404,80
405,36
406,77
407,79
408,79
409,58
410,86
411,79
412,70
413,68
414,81
415,61
416,60
417,76
418,76
419,63
420,69
421,78
422,77
423,77
424,17
425,38
426,67
427,36
428,61
429,82
430,14
431,71
432,62
433,63
434,46
435,57
436,75
437,82
438,56
439,13
440,67
441,54
442,71
443,74
444,65
445,60
446,57
447,78
448,81
449,52
450,80
451,77
452,68
453,59
454,64
455,84
456,87
457,20
458,64
459,64
460,15
461,79
462,60
463,68
464,70
465,78
466,80
467,17
468,72
469,78
470,78
471,63
472,88
473,60
474,13
475,60
476,75
477,55
478,89
479,64
480,80
481,80
482,19
483,58
484,56
