,Weight
0,72kg
1,83kg
2,68kg
3,86kg
4,92kg
5,76kg
6,68kg
7,79kg
8,76kg
9,76kg
10,92kg
11,89kg
12,82kg
13,75kg
14,84kg
15,94kg
16,66kg
17,67kg
18,70kg
19,85kg
20,92kg
21,68kg
22,86kg
23,84kg
24,71kg
25,76kg
26,70kg
27,62kg
28,79kg
29,77kg
30,81kg
31,82kg
32,92kg
33,71kg
34,75kg
35,60kg
36,75kg
37,59kg
38,85kg
39,76kg
40,68kg
41,68kg
42,80kg
43,90kg
44,80kg
45,76kg
46,61kg
47,79kg
48,82kg
49,85kg
50,80kg
51,80kg
52,68kg
53,84kg
54,79kg
55,94kg
56,85kg
57,80kg
58,75kg
59,78kg
60,85kg
61,75kg
62,72kg
63,77kg
64,88kg
65,78kg
66,73kg
67,75kg
68,86kg
69,73kg
70,69kg
71,76kg
72,81kg
73,89kg
74,76kg
75,73kg
76,80kg
77,83kg
78,83kg
79,81kg
80,85kg
81,75kg
82,80kg
83,91kg
84,80kg
85,84kg
86,83kg
87,94kg
88,85kg
89,75kg
90,78kg
91,72kg
92,81kg
93,77kg
94,72kg
95,85kg
96,67kg
97,81kg
98,95kg
99,73kg
100,77kg
101,76kg
102,76kg
103,64kg
104,75kg
105,91kg
106,70kg
107,97kg
108,80kg
109,78kg
110,69kg
111,76kg
112,75kg
113,75kg
114,73kg
115,67kg
116,92kg
117,77kg
118,85kg
119,90kg
120,65kg
121,81kg
122,78kg
123,77kg
124,73kg
125,75kg
126,67kg
127,84kg
128,80kg
129,70kg
130,74kg
131,70kg
132,90kg
133,66kg
134,69kg
135,77kg
136,84kg
137,90kg
138,87kg
139,81kg
140,77kg
141,74kg
142,74kg
143,91kg
144,93kg
145,88kg
146,68kg
147,87kg
148,78kg
149,90kg
150,67kg
151,73kg
152,76kg
153,76kg
154,64kg
155,77kg
156,58kg
157,85kg
158,75kg
159,76kg
160,79kg
161,72kg
162,83kg
163,70kg
164,83kg
165,80kg
166,72kg
167,82kg
168,72kg
169,75kg
170,82kg
171,70kg
172,77kg
173,80kg
174,78kg
175,65kg
176,68kg
177,89kg
178,81kg
179,75kg
180,88kg
181,76kg
182,73kg
183,68kg
184,85kg
185,85kg
186,77kg
187,95kg
188,71kg
189,63kg
190,84kg
191,81kg
192,79kg
193,90kg
194,90kg
195,83kg
196,75kg
197,82kg
198,68kg
199,82kg
200,83kg
201,92kg
202,67kg
203,90kg
204,90kg
205,75kg
206,65kg
207,75kg
208,79kg
209,78kg
210,65kg
211,84kg
212,78kg
213,71kg
214,95kg
215,71kg
216,77kg
217,69kg
218,82kg
219,84kg
220,80kg
221,74kg
222,70kg
223,72kg
224,78kg
225,86kg
226,77kg
227,78kg
228,83kg
229,71kg
230,65kg
231,80kg
232,79kg
233,67kg
234,69kg
235,84kg
236,70kg
237,72kg
238,68kg
239,82kg
240,66kg
241,90kg
242,67kg
243,93kg
244,66kg
245,78kg
246,72kg
247,84kg
248,75kg
249,64kg
250,66kg
251,69kg
252,83kg
253,78kg
254,69kg
255,69kg
256,61kg
257,73kg
258,76kg
259,80kg
260,84kg
261,69kg
262,73kg
263,88kg
264,91kg
265,88kg
266,79kg
267,73kg
268,70kg
269,78kg
270,86kg
271,82kg
272,89kg
273,82kg
274,61kg
275,73kg
276,63kg
277,71kg
278,89kg
279,84kg
280,80kg
281,70kg
282,67kg
283,77kg
284,73kg
285,77kg
286,75kg
287,80kg
288,73kg
289,80kg
290,84kg
291,73kg
292,70kg
293,64kg
294,70kg
295,85kg
296,62kg
297,82kg
298,88kg
299,76kg
300,85kg
301,83kg
302,74kg
303,78kg
304,95kg
305,80kg
306,80kg
307,78kg
308,73kg
309,90kg
310,90kg
311,70kg
312,80kg
313,71kg
314,79kg
315,76kg
316,79kg
317,81kg
318,83kg
319,74kg
320,88kg
321,68kg
322,70kg
323,74kg
324,77kg
325,73kg
326,76kg
327,92kg
328,61kg
329,83kg
330,84kg
331,78kg
332,75kg
333,65kg
334,80kg
335,62kg
336,72kg
337,75kg
338,67kg
339,81kg
340,91kg
341,68kg
342,74kg
343,85kg
344,59kg
345,87kg
346,74kg
347,75kg
348,80kg
349,80kg
350,83kg
351,77kg
352,83kg
353,70kg
354,80kg
355,75kg
356,90kg
357,90kg
358,84kg
359,85kg
360,67kg
361,76kg
362,63kg
363,86kg
364,77kg
365,70kg
366,75kg
367,80kg
368,74kg
369,67kg
370,76kg
371,76kg
372,81kg
373,92kg
374,80kg
375,75kg
376,89kg
377,88kg
378,74kg
379,69kg
380,76kg
381,68kg
382,72kg
383,69kg
384,84kg
385,75kg
386,81kg
387,63kg
388,74kg
389,80kg
