,Acceleration
0,92
1,89
2,94
3,88
4,56
5,57
6,78
7,79
8,93
9,65
10,62
11,78
12,75
13,88
14,43
15,46
16,75
17,72
18,90
19,68
20,49
21,82
22,72
23,75
24,87
25,77
26,78
27,88
28,64
29,75
30,93
31,65
32,51
33,94
34,78
35,69
36,75
37,94
38,38
39,50
40,93
41,88
42,94
43,71
44,79
45,75
46,93
47,72
48,70
49,55
50,87
51,87
52,70
53,63
54,78
55,78
56,81
57,84
58,76
59,77
60,62
61,65
62,74
63,80
64,68
65,67
66,79
67,93
68,64
69,87
70,94
71,78
72,80
73,69
74,86
75,74
76,54
77,82
78,46
79,62
80,62
81,86
82,72
83,63
84,83
85,65
86,76
87,72
88,70
89,79
90,67
91,73
92,78
93,60
94,83
95,59
96,73
97,65
98,58
99,92
100,75
101,85
102,85
103,85
104,80
105,44
106,77
107,51
108,77
109,73
110,94
111,74
112,75
113,74
114,76
115,85
116,71
117,76
118,79
119,45
120,88
121,63
122,68
123,57
124,82
125,88
126,85
127,51
128,53
129,96
130,55
131,87
132,51
133,86
134,86
135,91
136,69
137,60
138,59
139,49
140,75
141,66
142,78
143,67
144,45
145,75
146,94
147,60
148,69
149,35
150,93
151,89
152,68
153,68
154,82
155,68
156,86
157,68
158,93
159,92
160,85
161,86
162,52
163,88
164,67
165,81
166,83
167,47
168,90
169,74
170,64
171,76
172,69
173,38
174,65
175,84
176,77
177,54
178,76
179,52
180,78
181,67
182,90
183,85
184,68
185,31
186,62
187,38
188,71
189,71
190,53
191,66
192,75
193,39
194,30
195,88
196,71
197,57
198,79
199,40
200,64
201,50
202,85
203,46
204,46
205,94
206,95
207,86
208,76
209,77
210,82
211,54
212,74
213,94
214,64
215,85
216,84
217,79
218,79
219,71
220,73
221,91
222,85
223,80
224,77
225,63
226,77
227,85
228,34
229,73
230,78
231,60
232,72
233,86
234,86
235,82
236,84
237,95
238,80
239,48
240,90
241,60
242,86
243,65
244,78
245,59
246,86
247,74
248,78
249,93
250,75
251,85
252,73
253,65
254,64
255,64
256,88
257,42
258,74
259,52
260,49
261,79
262,73
263,51
264,63
265,55
266,48
267,67
268,88
269,68
270,58
271,53
272,60
273,48
274,73
275,64
276,70
277,76
278,34
279,59
280,66
281,93
282,91
283,45
284,78
285,92
286,57
287,93
288,75
289,75
290,62
291,77
292,89
293,80
294,74
295,74
296,85
297,62
298,50
299,78
300,70
301,66
302,86
303,77
304,58
305,91
306,91
307,89
308,93
309,72
310,70
311,94
312,72
313,74
314,73
315,72
316,68
317,78
318,54
319,81
320,65
321,85
322,87
323,78
324,89
325,77
326,84
327,50
328,90
329,76
330,53
331,75
332,77
333,74
334,79
335,87
336,86
337,67
338,82
339,69
340,49
341,75
342,71
343,44
344,85
345,60
346,77
347,64
348,89
349,74
350,74
351,62
352,79
353,86
354,73
355,68
356,57
357,57
358,60
359,59
360,80
361,65
362,81
363,71
364,67
365,77
366,78
367,66
368,76
369,76
370,74
371,80
372,54
373,56
374,62
375,83
376,74
377,66
378,62
379,77
380,75
381,83
382,80
383,71
384,68
385,73
386,35
387,90
388,74
389,72
390,88
391,83
392,74
393,81
394,54
395,53
396,75
397,76
398,72
399,68
400,85
401,67
402,94
403,78
404,86
405,64
406,82
407,87
408,87
409,75
410,84
411,76
412,69
413,67
414,74
415,80
416,73
417,75
418,81
419,71
420,77
421,90
422,94
423,80
424,50
425,55
426,76
427,66
428,53
429,84
430,55
431,95
432,71
433,72
434,47
435,62
436,71
437,74
438,75
439,44
440,76
441,72
442,70
443,80
444,75
445,87
446,77
447,77
448,74
449,66
450,79
451,76
452,69
453,57
454,60
455,73
456,75
457,54
458,73
459,73
460,44
461,79
462,66
463,85
464,58
465,88
466,62
467,57
468,82
469,80
470,83
471,68
472,81
473,73
474,45
475,68
476,81
477,71
478,78
479,67
480,92
481,89
482,44
483,53
484,65
485,75
486,86
487,59
488,32
489,75
490,67
491,65
492,74
493,55
494,76
495,72
496,64
497,58
498,52
499,47
500,84
501,52
502,62
503,54
504,78
505,78
506,66
507,55
508,50
509,74
510,74
511,43
512,72
513,50
514,77
515,70
516,74
517,70
518,42
519,69
520,49
521,46
522,73
523,51
524,67
525,56
526,70
527,64
528,44
529,63
530,69
531,68
532,36
533,46
534,74
535,66
536,71
537,34
538,54
539,62
540,88
541,73
542,58
543,93
544,87
545,80
546,40
547,79
548,82
549,92
550,94
551,76
552,66
553,74
554,79
555,72
556,78
557,63
558,92
559,89
560,85
561,85
562,52
563,84
564,78
565,78
566,57
567,66
568,49
569,83
570,41
571,79
572,83
573,92
574,88
575,75
576,78
577,83
578,85
579,89
580,55
581,67
582,85
583,92
584,75
585,70
586,79
587,80
588,75
589,47
590,74
591,63
592,62
593,70
594,68
595,81
596,73
597,58
598,50
599,74
600,58
601,77
602,88
603,79
604,72
605,76
606,66
607,74
608,70
609,75
610,72
611,61
612,61
613,77
614,63
615,52
616,69
617,83
618,45
619,84
620,78
621,72
622,78
623,69
624,84
625,41
626,85
627,57
628,54
629,68
630,54
631,76
632,74
633,49
634,75
635,73
636,84
637,79
638,82
639,77
640,41
641,70
642,76
643,46
644,83
645,69
646,38
647,41
648,86
649,83
650,64
651,70
652,53
653,76
654,78
655,83
656,78
657,87
658,80
659,67
660,50
661,77
662,66
663,66
664,77
665,67
666,80
667,77
668,70
669,49
670,79
671,65
672,62
673,86
674,92
675,83
676,66
677,77
678,76
679,71
680,84
681,80
682,52
683,81
684,61
685,60
686,44
687,43
688,61
689,82
690,46
691,38
692,44
693,50
694,67
695,71
696,54
697,64
698,86
699,77
700,83
701,87
702,78
703,66
704,82
705,70
706,64
707,68
708,39
709,57
710,78
711,69
712,57
713,85
714,85
715,65
716,85
717,69
718,74
719,72
720,72
721,87
722,88
723,93
724,73
725,79
726,77
727,82
728,74
729,85
730,48
731,86
732,62
733,73
734,69
735,90
736,73
737,35
738,33
739,86
740,74
741,76
742,75
743,77
744,66
745,91
746,78
747,70
748,78
749,82
750,68
751,78
752,91
753,88
754,48
755,59
756,75
757,89
758,44
759,64
760,75
761,85
762,61
763,83
764,56
765,56
766,69
767,78
768,66
769,89
770,87
771,57
772,88
773,64
774,85
775,41
776,34
777,35
778,50
779,89
780,77
781,64
782,86
783,89
784,69
785,75
786,69
787,66
788,84
789,84
790,49
791,72
792,78
793,74
794,93
795,79
796,45
797,78
798,66
799,63
800,53
801,73
802,57
803,63
804,65
805,79
806,42
807,67
808,72
809,67
810,84
811,46
812,74
813,84
814,65
815,80
816,80
817,77
818,71
819,42
820,76
821,80
822,81
823,59
824,65
825,67
826,43
827,65
828,73
829,62
830,52
831,84
832,69
833,62
834,66
835,28
836,72
837,61
838,69
839,77
840,91
841,68
842,79
843,36
844,66
845,50
846,73
847,71
848,86
849,72
850,61
851,76
852,70
853,55
854,86
855,86
856,67
857,45
858,58
859,76
860,53
861,79
862,53
863,77
864,78
865,72
866,78
867,78
868,60
869,78
870,37
871,57
872,60
873,79
874,65
875,77
876,64
877,60
878,64
879,84
880,51
881,76
882,34
883,65
884,77
885,75
886,50
887,75
888,85
889,92
890,44
891,90
892,63
893,44
894,78
895,69
896,82
897,62
898,77
899,57
900,42
901,77
902,65
903,44
904,75
905,50
906,52
907,64
908,49
909,48
910,69
911,83
912,72
913,79
914,68
915,47
916,56
917,76
918,90
919,61
920,65
921,79
922,64
923,75
924,72
925,84
926,77
927,76
928,75
929,82
930,57
931,75
932,79
933,85
934,73
935,86
936,69
937,77
938,91
939,80
940,78
941,47
942,30
943,66
944,72
945,69
946,64
947,48
948,78
949,90
950,78
951,63
952,84
953,77
954,66
955,77
956,55
957,54
958,73
959,58
960,81
961,75
962,58
963,71
964,69
965,41
966,69
967,85
968,67
969,67
970,74
971,69
972,80
973,86
974,83
975,72
976,87
977,78
978,65
979,86
980,69
981,69
982,44
983,62
984,34
985,85
986,74
987,70
988,70
989,81
990,88
991,40
992,85
993,77
994,90
995,83
996,79
997,78
998,58
999,63
1000,65
1001,72
1002,82
1003,78
1004,69
1005,79
1006,58
1007,61
1008,88
1009,77
1010,64
1011,90
1012,73
1013,76
1014,87
1015,71
1016,52
1017,71
1018,91
1019,53
1020,53
1021,50
1022,82
1023,86
1024,60
1025,72
1026,82
1027,54
1028,78
1029,77
1030,75
1031,71
1032,68
1033,75
1034,42
1035,76
1036,77
1037,53
1038,87
1039,74
1040,74
1041,78
1042,78
1043,45
1044,64
1045,63
1046,64
1047,72
1048,79
1049,83
1050,35
1051,86
1052,91
1053,77
1054,48
1055,72
1056,75
1057,41
1058,72
1059,62
1060,70
1061,79
1062,42
1063,80
1064,74
1065,80
1066,83
1067,92
1068,78
1069,67
1070,77
1071,77
1072,66
1073,55
1074,73
1075,67
1076,69
1077,71
1078,52
1079,74
1080,75
1081,78
1082,81
1083,87
1084,69
1085,53
1086,62
1087,35
1088,86
1089,82
1090,70
1091,81
1092,63
1093,65
1094,75
1095,78
1096,74
1097,79
1098,69
1099,74
1100,77
1101,79
1102,77
1103,65
1104,87
1105,62
1106,76
1107,55
1108,79
1109,84
1110,70
1111,80
1112,51
1113,68
1114,72
1115,34
1116,75
1117,83
1118,54
1119,65
1120,33
1121,85
1122,85
1123,71
1124,68
1125,58
1126,71
1127,89
1128,86
1129,86
1130,75
1131,30
1132,85
1133,78
1134,89
1135,64
1136,75
1137,43
1138,66
1139,83
1140,78
1141,72
1142,65
1143,49
1144,56
1145,72
1146,86
1147,65
1148,72
1149,63
1150,68
1151,83
1152,47
1153,78
1154,85
1155,77
1156,53
1157,68
1158,85
1159,56
1160,63
1161,45
1162,68
1163,77
1164,73
1165,75
1166,66
1167,84
1168,78
1169,42
1170,81
1171,35
1172,64
1173,64
1174,72
1175,53
1176,69
1177,84
1178,87
1179,67
1180,71
1181,68
1182,76
1183,78
1184,76
1185,77
1186,69
1187,58
1188,72
1189,66
1190,70
1191,54
1192,70
1193,65
1194,62
1195,66
1196,75
1197,71
1198,70
1199,67
1200,66
1201,51
1202,79
1203,75
1204,90
1205,79
1206,87
1207,51
1208,74
1209,67
1210,45
1211,87
1212,83
1213,87
1214,77
1215,86
1216,58
1217,88
1218,38
1219,79
1220,34
1221,79
1222,49
1223,61
1224,61
1225,85
1226,78
1227,83
1228,74
1229,83
1230,78
1231,85
1232,36
1233,77
1234,33
1235,67
1236,74
1237,80
1238,64
1239,54
1240,72
1241,63
1242,81
1243,79
1244,81
1245,45
1246,69
1247,74
1248,57
1249,86
1250,60
1251,36
1252,62
1253,68
1254,70
1255,62
1256,66
1257,80
1258,75
1259,69
1260,64
1261,61
1262,60
1263,56
1264,45
1265,93
1266,75
1267,78
1268,73
1269,68
1270,63
1271,85
1272,60
1273,43
1274,68
1275,68
1276,64
1277,64
1278,48
1279,76
1280,66
1281,57
1282,87
1283,75
1284,58
1285,82
1286,82
1287,73
1288,90
1289,34
1290,71
1291,65
1292,68
1293,55
1294,61
1295,87
1296,90
1297,56
1298,69
1299,82
1300,88
1301,40
1302,86
1303,77
1304,60
1305,88
1306,55
1307,73
1308,55
1309,86
1310,69
1311,69
1312,55
1313,33
1314,78
1315,62
1316,74
1317,32
1318,71
1319,69
1320,66
1321,83
1322,44
1323,59
1324,73
1325,49
1326,49
1327,68
1328,88
1329,77
1330,71
1331,62
1332,68
1333,92
1334,84
1335,52
1336,75
1337,88
1338,65
1339,77
1340,40
1341,42
1342,56
1343,52
1344,69
1345,77
1346,78
1347,83
1348,89
1349,80
1350,65
1351,58
1352,80
1353,80
1354,36
1355,78
1356,69
1357,74
1358,71
1359,40
1360,91
1361,41
1362,75
1363,90
1364,48
1365,76
1366,74
1367,53
1368,47
1369,59
1370,70
1371,82
1372,73
1373,59
1374,67
1375,52
1376,74
1377,74
1378,80
1379,74
1380,52
1381,89
1382,37
1383,78
1384,64
1385,79
1386,88
1387,49
1388,73
1389,45
1390,62
1391,50
1392,74
1393,75
1394,77
1395,78
1396,87
1397,75
1398,85
1399,79
1400,66
1401,76
1402,81
1403,62
1404,67
1405,58
1406,67
1407,76
1408,75
1409,73
1410,65
1411,52
1412,49
1413,77
1414,90
1415,86
1416,67
1417,77
1418,55
1419,55
1420,74
1421,78
1422,75
1423,78
1424,74
1425,49
1426,34
1427,22
1428,22
1429,62
1430,51
