,Aggression
0,48
1,63
2,56
3,87
4,29
5,38
6,73
7,80
8,54
9,60
10,69
11,50
12,84
13,48
14,34
15,23
16,62
17,55
18,63
19,92
20,38
21,90
22,76
23,78
24,69
25,46
26,57
27,80
28,88
29,84
30,65
31,31
32,25
33,63
34,56
35,89
36,64
37,34
38,43
39,85
40,75
41,55
42,43
43,82
44,84
45,48
46,59
47,56
48,77
49,72
50,47
51,47
52,58
53,87
54,58
55,72
56,77
57,82
58,57
59,82
60,82
61,93
62,68
63,88
64,84
65,67
66,81
67,59
68,35
69,61
70,34
71,71
72,77
73,87
74,69
75,71
76,32
77,86
78,28
79,91
80,83
81,49
82,68
83,80
84,65
85,51
86,93
87,82
88,90
89,86
90,82
91,75
92,65
93,45
94,52
95,87
96,87
97,94
98,84
99,62
100,87
101,45
102,45
103,58
104,73
105,27
106,74
107,82
108,84
109,85
110,73
111,69
112,80
113,80
114,81
115,41
116,80
117,48
118,56
119,41
120,60
121,43
122,78
123,25
124,70
125,69
126,63
127,31
128,86
129,55
130,58
131,78
132,40
133,46
134,73
135,44
136,86
137,82
138,20
139,90
140,57
141,61
142,78
143,73
144,31
145,79
146,56
147,66
148,82
149,17
150,54
151,58
152,73
153,73
154,78
155,89
156,63
157,72
158,63
159,59
160,84
161,60
162,75
163,56
164,88
165,61
166,73
167,32
168,74
169,58
170,79
171,86
172,65
173,31
174,86
175,56
176,30
177,72
178,81
179,87
180,70
181,73
182,54
183,71
184,88
185,84
186,79
187,36
188,73
189,54
190,39
191,79
192,83
193,74
194,18
195,84
196,87
197,80
198,78
199,34
200,84
201,32
202,62
203,30
204,30
205,58
206,57
207,53
208,85
209,81
210,73
211,26
212,73
213,36
214,71
215,78
216,52
217,64
218,42
219,81
220,74
221,92
222,65
223,83
224,62
225,90
226,62
227,71
228,18
229,71
230,79
231,83
232,86
233,79
234,62
235,90
236,23
237,67
238,68
239,92
240,72
241,78
242,64
243,65
244,84
245,82
246,61
247,75
248,68
249,56
250,43
251,58
252,72
253,88
254,79
255,79
256,75
257,76
258,63
259,91
260,81
261,64
262,74
263,76
264,86
265,41
266,38
267,78
268,66
269,80
270,85
271,37
272,35
273,11
274,74
275,52
276,83
277,78
278,36
279,23
280,82
281,67
282,77
283,39
284,73
285,66
286,88
287,54
288,60
289,65
290,72
291,74
292,75
293,73
294,66
295,93
296,73
297,77
298,27
299,76
300,89
301,78
302,70
303,63
304,40
305,59
306,59
307,76
308,40
309,73
310,90
311,67
312,78
313,44
314,80
315,74
316,58
317,78
318,25
319,85
320,73
321,55
322,72
323,29
324,60
325,79
326,83
327,82
328,48
329,75
330,40
331,70
332,75
333,89
334,77
335,45
336,54
337,76
338,76
339,83
340,78
341,82
342,58
343,35
344,47
345,90
346,58
347,86
348,67
349,74
350,85
351,57
352,84
353,51
354,77
355,80
356,83
357,83
358,32
359,82
360,78
361,79
362,52
363,83
364,82
365,66
366,79
367,77
368,62
369,72
370,60
371,87
372,82
373,31
374,77
375,68
376,80
377,73
378,82
379,66
380,80
381,62
382,50
383,67
384,78
385,75
386,22
387,65
388,85
389,76
390,67
391,84
392,64
393,83
394,90
395,82
396,80
397,85
398,68
399,76
400,41
401,69
402,64
403,79
404,48
405,84
406,56
407,68
408,68
409,76
410,69
411,72
412,83
413,78
414,57
415,55
416,68
417,79
418,62
419,84
420,38
421,47
422,41
423,47
424,25
425,79
426,89
427,76
428,78
429,75
430,21
431,72
432,75
433,76
434,81
435,84
436,92
437,74
438,88
439,23
440,61
441,85
442,69
443,67
444,74
445,50
446,77
447,77
448,32
449,83
450,72
451,75
452,82
453,87
454,85
455,76
456,75
457,26
458,72
459,72
460,33
461,77
462,81
463,67
464,88
