,Agility
0,90
1,89
2,96
3,86
4,51
5,60
6,82
7,78
8,93
9,71
10,64
11,75
12,79
13,91
14,67
15,61
16,93
17,92
18,86
19,59
20,55
21,83
22,73
23,76
24,90
25,80
26,90
27,92
28,63
29,81
30,78
31,55
32,47
33,87
34,76
35,87
36,83
37,96
38,37
39,65
40,90
41,92
42,77
43,58
44,77
45,83
46,94
47,76
48,74
49,58
50,89
51,89
52,79
53,66
54,87
55,62
56,77
57,79
58,76
59,75
60,60
61,75
62,79
63,81
64,62
65,72
66,74
67,90
68,60
69,91
70,91
71,82
72,58
73,50
74,79
75,77
76,60
77,68
78,52
79,69
80,56
81,86
82,82
83,60
84,78
85,57
86,58
87,59
88,62
89,83
90,61
91,85
92,77
93,63
94,86
95,59
96,77
97,63
98,75
99,83
100,63
101,78
102,78
103,88
104,86
105,30
106,83
107,33
108,74
109,71
110,89
111,76
112,69
113,68
114,82
115,92
116,57
117,80
118,65
119,50
120,83
121,67
122,61
123,70
124,87
125,89
126,88
127,42
128,34
129,93
130,69
131,70
132,55
133,93
134,92
135,89
136,72
137,59
138,62
139,54
140,79
141,77
142,81
143,50
144,51
145,82
146,92
147,51
148,53
149,49
150,90
151,92
152,66
153,66
154,90
155,57
156,85
157,49
158,79
159,85
160,76
161,87
162,45
163,82
164,58
165,75
166,87
167,45
168,91
169,86
170,66
171,84
172,80
173,43
174,65
175,84
176,92
177,38
178,70
179,43
180,71
181,76
182,85
183,85
184,67
185,29
186,63
187,39
188,81
189,85
190,61
191,65
192,66
193,57
194,35
195,75
196,68
197,53
198,85
199,35
200,64
201,50
202,91
203,64
204,64
205,86
206,94
207,93
208,62
209,77
210,83
211,58
212,63
213,87
214,48
215,81
216,85
217,85
218,82
219,67
220,78
221,78
222,81
223,79
224,83
225,60
226,76
227,81
228,41
229,78
230,82
231,60
232,67
233,87
234,91
235,77
236,86
237,94
238,69
239,53
240,89
241,58
242,91
243,65
244,75
245,57
246,87
247,67
248,81
249,89
250,86
251,92
252,64
253,65
254,73
255,73
256,92
257,53
258,75
259,56
260,57
261,82
262,82
263,59
264,57
265,55
266,55
267,82
268,82
269,78
270,60
271,52
272,62
273,57
274,79
275,74
276,76
277,75
278,48
279,62
280,48
281,90
282,88
283,40
284,79
285,78
286,67
287,82
288,81
289,76
290,59
291,83
292,84
293,84
294,77
295,52
296,85
297,69
298,62
299,73
300,62
301,65
302,78
303,78
304,55
305,86
306,86
307,82
308,93
309,63
310,56
311,90
312,77
313,80
314,69
315,60
316,70
317,73
318,48
319,82
320,33
321,91
322,84
323,79
324,81
325,73
326,76
327,33
328,92
329,77
330,59
331,74
332,87
333,78
334,79
335,90
336,85
