,Balance
0,95
1,63
2,82
3,78
4,35
5,43
6,79
7,80
8,93
9,71
10,58
11,69
12,60
13,85
14,49
15,45
16,94
17,89
18,91
19,64
20,49
21,90
22,62
23,63
24,80
25,82
26,86
27,87
28,58
29,59
30,65
31,54
32,36
33,88
34,76
35,94
36,75
37,93
38,43
39,55
40,86
41,92
42,70
43,53
44,82
45,70
46,92
47,66
48,68
49,42
50,91
51,91
52,84
53,57
54,90
55,47
56,63
57,79
58,72
59,73
60,52
61,77
62,79
63,84
64,55
65,66
66,60
67,82
68,48
69,71
70,92
71,82
72,47
73,40
74,77
75,79
76,61
77,60
78,44
79,62
80,53
81,81
82,80
83,50
84,72
85,36
86,52
87,53
88,68
89,79
90,57
91,75
92,61
93,77
94,91
95,42
96,80
97,49
98,41
99,77
100,63
101,76
102,76
103,86
104,91
105,37
106,83
107,32
108,62
109,69
110,85
111,68
112,68
113,66
114,79
115,86
116,51
117,75
118,60
119,31
120,78
121,62
122,60
123,30
124,84
125,85
126,79
127,37
128,55
129,91
130,72
131,72
132,51
133,87
134,79
135,81
136,56
137,52
138,58
139,58
140,80
141,69
142,79
143,36
144,55
145,76
146,94
147,64
148,57
149,34
150,85
151,91
152,59
153,59
154,90
155,50
156,84
157,55
158,76
159,82
160,72
161,79
162,50
163,71
164,60
165,63
166,84
167,43
168,83
169,85
170,69
171,82
172,58
173,39
174,68
175,82
176,88
177,35
178,66
179,31
180,50
181,75
182,81
183,85
184,53
185,32
186,61
187,36
188,84
189,89
190,54
191,63
192,66
193,38
194,32
195,83
196,62
197,56
198,87
199,45
200,72
201,60
202,84
203,38
204,38
205,79
206,94
207,84
208,55
209,73
210,86
211,50
212,62
213,84
214,39
215,70
216,79
217,82
218,75
219,64
220,53
221,78
222,85
223,75
224,83
225,57
226,77
227,85
228,39
229,71
230,73
231,54
232,64
233,84
234,83
235,69
236,86
237,87
238,74
239,61
240,80
241,49
242,81
243,50
244,82
245,58
246,91
247,58
248,77
249,83
250,80
251,84
252,61
253,62
254,67
255,67
256,90
257,59
258,76
259,56
260,46
261,80
262,75
263,52
264,47
265,51
266,58
267,60
268,77
269,82
270,50
271,36
272,47
273,40
274,84
275,82
276,78
277,62
278,47
279,46
280,48
281,78
282,83
283,57
284,77
285,49
286,72
287,78
288,77
289,60
290,53
291,69
292,78
293,87
294,60
295,55
296,84
297,48
298,43
299,68
300,50
301,58
302,83
303,78
304,50
305,78
306,78
307,79
308,79
309,49
310,40
311,88
312,67
313,81
314,72
315,68
316,56
317,84
318,50
319,82
320,35
321,86
322,88
323,74
324,75
325,71
326,78
327,31
328,90
329,69
330,49
331,73
332,77
333,92
334,55
335,87
336,82
337,75
338,76
339,48
340,38
341,85
342,73
343,52
344,88
345,66
346,78
347,63
348,66
349,78
350,58
351,61
352,63
353,79
354,71
355,71
356,54
357,54
358,62
359,47
360,74
361,74
362,93
363,68
364,56
365,76
366,65
367,48
368,63
369,88
370,64
371,76
372,52
373,52
374,72
375,76
376,59
377,53
378,73
379,83
380,76
381,77
382,77
383,74
384,39
385,75
386,27
387,65
388,67
389,65
390,76
391,86
392,65
393,72
394,52
395,38
396,60
397,60
398,74
399,58
400,84
401,77
402,90
403,69
404,78
405,53
406,76
407,81
408,81
409,55
410,86
411,67
412,71
413,70
414,78
415,69
416,64
417,77
418,78
419,73
420,67
421,88
422,96
423,76
424,50
425,58
426,89
427,51
428,54
429,72
430,43
431,77
432,58
433,64
434,28
435,37
436,63
437,62
438,72
439,25
440,67
441,52
442,59
443,75
444,58
445,77
446,63
447,85
448,81
449,50
450,76
451,83
452,73
453,43
454,59
455,66
456,72
457,58
458,66
459,66
460,43
461,60
462,49
463,75
464,45
465,84
466,75
467,42
468,79
469,86
470,74
471,72
472,74
473,81
474,37
475,78
476,72
477,68
478,76
479,78
480,93
481,91
482,49
483,53
484,45
485,69
486,80
487,54
488,58
489,74
490,61
491,71
492,71
493,55
494,80
495,68
496,73
497,62
498,52
499,44
500,83
501,40
502,73
503,63
504,71
505,78
506,66
507,34
508,55
509,83
510,83
511,63
512,67
513,44
514,87
515,84
516,75
517,58
518,64
519,78
520,45
521,36
522,70
523,45
524,76
525,82
526,74
527,61
528,50
529,64
530,73
531,62
532,63
533,49
534,79
535,77
536,50
537,48
538,55
539,44
540,85
541,69
542,50
543,92
544,40
545,78
546,44
547,69
548,75
549,91
550,76
551,67
552,60
553,56
554,75
555,57
556,78
557,55
558,85
559,69
560,84
561,84
