,ballControll
0,96
1,93
2,95
3,91
4,48
5,42
6,90
7,89
8,93
9,89
10,81
11,85
12,84
13,93
14,16
15,23
16,92
17,91
18,89
19,57
20,28
21,79
22,84
23,89
24,86
25,89
26,92
27,87
28,76
29,82
30,85
31,34
32,16
33,88
34,80
35,88
36,87
37,92
38,18
39,85
40,83
41,88
42,82
43,70
44,88
45,89
46,89
47,87
48,79
49,78
50,88
51,88
52,94
53,78
54,94
55,73
56,83
57,81
58,81
59,79
60,75
61,83
62,89
63,85
64,74
65,87
66,81
67,85
68,37
69,89
70,87
71,87
72,77
73,60
74,83
75,86
76,19
77,65
78,22
79,69
80,79
81,85
82,87
83,70
84,85
85,84
86,82
87,65
88,58
89,79
90,72
91,82
92,86
93,85
94,88
95,70
96,82
97,62
98,84
99,87
100,68
101,86
102,86
103,89
104,89
105,30
106,85
107,63
108,85
109,81
110,84
111,85
112,76
113,76
114,83
115,89
116,73
117,89
118,82
119,22
120,85
121,21
122,71
123,23
124,83
125,86
126,86
127,19
128,59
129,89
130,83
131,78
132,22
133,85
134,84
135,84
136,79
137,81
138,14
139,74
140,90
141,89
142,85
143,68
144,15
145,89
146,87
147,65
148,84
149,22
150,85
151,85
152,86
153,86
154,88
155,56
156,86
157,72
158,84
159,86
160,82
161,82
162,78
163,84
164,77
165,85
166,82
167,17
168,85
169,90
170,70
171,85
172,86
173,20
174,84
175,86
176,85
177,73
178,84
179,82
180,85
181,82
182,84
183,84
184,77
185,72
186,68
187,24
188,85
189,88
190,23
191,75
192,76
193,73
194,22
195,81
196,67
197,68
198,86
199,23
200,78
201,23
202,88
203,28
204,28
205,83
206,83
207,84
208,70
209,80
210,84
211,15
212,73
213,82
214,64
215,80
216,87
217,82
218,85
219,80
220,84
221,76
222,83
223,75
224,83
225,64
226,80
227,87
228,16
229,84
230,84
231,66
232,70
233,84
234,83
235,80
236,89
237,82
238,81
239,80
240,87
241,71
242,83
243,80
244,79
245,71
246,85
247,81
248,85
249,85
250,84
251,88
252,72
253,73
254,85
255,85
256,86
257,82
258,86
259,72
260,73
261,84
262,86
263,82
264,66
265,15
266,25
267,82
268,80
269,78
270,63
271,17
272,40
273,23
274,82
275,88
276,84
277,79
278,23
279,23
280,66
281,80
282,78
283,16
284,84
285,81
286,81
287,87
288,83
289,78
290,65
291,82
292,79
293,86
294,80
295,71
296,83
297,86
298,12
299,78
300,68
301,65
302,81
303,76
304,36
305,82
306,82
307,82
308,87
309,80
310,71
311,86
312,80
313,84
314,65
315,74
316,87
317,81
318,32
319,78
320,67
321,83
322,80
323,86
324,80
325,78
326,77
327,63
328,86
329,84
330,24
331,84
332,83
333,71
334,76
335,84
336,86
337,82
338,76
339,58
340,81
341,84
342,84
343,23
344,86
345,76
346,81
347,75
348,78
349,83
350,76
351,84
352,83
353,88
354,80
355,79
356,68
357,68
358,23
359,65
360,78
361,80
362,82
363,84
364,65
365,84
366,73
367,66
368,81
369,84
370,81
371,76
372,57
373,28
374,73
375,83
376,73
377,76
378,79
379,85
380,85
381,86
382,81
383,84
384,65
385,78
386,19
387,79
388,74
389,76
390,80
391,81
392,80
393,72
394,60
395,53
396,75
397,77
398,85
399,63
400,85
401,84
402,83
403,77
404,81
405,65
406,84
407,81
408,81
409,81
410,84
411,79
412,80
413,80
414,86
415,79
416,71
417,82
418,78
419,78
420,81
421,79
422,84
423,85
424,38
425,61
426,81
427,62
428,81
429,78
430,23
431,78
432,77
433,80
434,56
435,71
436,68
437,78
438,64
439,23
440,78
441,80
442,81
443,82
444,86
445,85
446,80
447,82
448,82
449,73
450,82
451,81
452,77
453,67
454,68
455,80
456,78
457,22
458,78
459,78
460,23
461,76
462,71
463,80
464,60
465,81
466,80
467,34
468,86
469,85
470,81
471,67
472,84
473,80
474,24
475,73
476,81
477,69
478,76
479,79
480,78
481,82
482,23
483,62
484,76
485,85
486,86
487,35
488,20
489,77
490,60
491,81
492,77
493,74
494,84
495,86
496,85
497,41
498,26
499,40
500,80
501,24
502,81
503,85
504,82
505,81
506,81
507,56
508,18
509,81
510,81
511,61
512,69
513,22
514,80
515,80
516,81
517,78
518,73
519,85
520,12
521,63
522,76
523,22
524,78
525,85
526,80
527,71
528,21
529,83
530,78
531,80
532,80
533,24
534,75
535,80
536,79
537,20
538,80
539,73
540,79
541,83
542,17
543,82
544,65
545,82
546,29
547,76
548,78
549,82
550,79
551,71
552,64
553,81
554,83
555,70
556,82
557,74
558,80
559,77
560,81
561,81
562,81
563,76
564,74
565,74
566,73
567,81
568,23
569,80
570,15
571,82
572,76
573,75
574,79
575,82
576,83
577,81
578,85
579,78
580,72
581,79
582,80
583,83
584,83
585,76
586,77
587,81
588,80
589,74
590,64
591,70
592,83
593,76
594,77
595,80
596,81
597,76
598,19
599,82
600,80
601,75
602,81
603,79
604,79
605,83
606,81
607,80
608,85
609,78
610,66
611,77
612,77
613,82
614,80
615,66
616,74
617,78
618,12
619,77
620,83
621,74
622,81
623,77
624,78
625,17
626,83
627,78
628,63
629,78
630,66
631,79
632,71
633,19
634,78
635,80
636,72
637,76
638,81
639,85
640,22
641,74
642,81
643,22
644,78
645,78
646,78
647,23
648,82
649,82
650,72
651,76
652,74
653,70
654,80
655,79
656,77
657,79
658,77
659,74
660,85
661,80
662,68
663,68
664,79
665,79
666,83
667,78
668,79
669,82
670,78
671,70
672,62
673,69
674,78
675,86
676,82
677,80
678,59
679,81
680,79
681,80
682,49
683,78
684,73
685,75
686,12
687,30
688,80
689,69
690,20
691,22
692,14
693,62
694,72
695,83
696,82
697,73
698,83
699,82
700,75
701,83
702,79
703,73
704,76
705,73
706,38
707,80
708,16
709,77
710,81
711,67
712,74
713,83
714,83
715,80
716,81
717,80
718,76
719,83
720,71
721,80
722,74
723,78
724,73
725,76
726,62
727,82
728,70
729,77
730,22
731,81
732,61
733,78
734,76
735,77
736,76
737,25
738,25
739,78
740,79
741,76
742,72
743,80
744,74
745,76
746,78
747,78
748,85
749,85
750,74
751,73
752,74
753,77
754,14
755,24
756,70
757,80
758,22
759,75
760,82
761,83
762,72
763,77
764,65
765,65
766,79
767,82
768,67
769,82
770,82
771,78
772,76
773,63
774,75
775,21
776,20
777,64
778,24
779,77
780,76
781,64
782,78
783,78
784,66
785,74
786,79
787,73
788,74
789,76
790,20
791,85
792,54
793,80
794,81
795,82
796,81
797,76
798,79
799,72
800,24
801,80
802,81
803,68
804,76
805,74
806,72
807,74
808,81
809,78
810,79
811,23
812,80
813,73
814,78
815,81
816,81
817,81
818,77
819,65
820,78
821,80
822,77
823,78
824,76
825,50
826,64
827,80
828,76
829,75
830,76
831,77
832,74
833,81
834,74
835,17
836,77
837,76
838,68
839,78
840,78
841,74
842,81
843,81
844,66
845,75
846,83
847,77
848,77
849,76
850,52
851,75
852,78
853,70
854,82
855,75
856,59
857,31
858,70
859,81
860,52
861,75
862,74
863,77
864,75
865,75
866,66
867,66
868,70
869,80
870,21
871,69
872,69
873,73
874,72
875,76
876,80
877,80
878,55
879,77
880,25
881,79
882,32
883,78
884,83
885,84
886,58
887,79
888,74
889,82
890,62
891,78
892,78
893,56
894,78
895,65
896,77
897,80
898,78
899,78
900,78
901,82
902,83
903,21
904,73
905,25
906,76
907,74
908,85
909,77
910,64
911,79
912,75
913,84
914,79
915,84
916,20
917,78
918,78
919,76
920,72
921,76
922,80
923,72
924,77
925,77
926,82
927,78
928,81
929,85
930,81
931,84
932,74
933,83
934,73
