,Composure
0,97
1,95
2,92
3,85
4,70
5,64
6,86
7,87
8,89
9,85
10,91
11,86
12,80
13,84
14,55
15,52
16,84
17,92
18,90
19,82
20,70
21,85
22,89
23,87
24,86
25,87
26,83
27,86
28,82
29,84
30,85
31,61
32,62
33,89
34,85
35,91
36,87
37,83
38,62
39,88
40,76
41,85
42,84
43,86
44,85
45,78
46,81
47,84
48,81
49,86
50,86
51,86
52,89
53,84
54,86
55,82
56,81
57,82
58,83
59,78
60,86
61,86
62,84
63,84
64,83
65,81
66,88
67,78
68,64
69,75
70,76
71,86
72,82
73,78
74,79
75,75
76,49
77,79
78,62
79,84
80,84
81,83
82,87
83,81
84,80
85,83
86,83
87,78
88,82
89,82
90,80
91,87
92,79
93,92
94,86
95,81
96,78
97,79
98,90
99,80
100,74
101,83
102,83
103,85
104,89
105,68
106,81
107,72
108,86
109,80
110,78
111,82
112,79
113,75
114,74
115,83
116,83
117,81
118,80
119,20
120,80
121,48
122,82
123,58
124,85
125,76
126,85
127,65
128,79
129,82
130,78
131,75
132,65
133,87
134,82
135,79
136,77
137,84
138,39
139,83
140,82
141,87
142,84
143,84
144,57
145,90
146,84
147,82
148,87
149,70
150,73
151,82
152,79
153,79
154,79
155,73
156,80
157,74
158,74
159,80
160,81
161,78
162,89
163,82
164,84
165,70
166,85
167,52
168,78
169,86
170,74
171,84
172,79
173,48
174,85
175,78
176,82
177,81
178,80
179,85
180,81
181,81
182,79
183,82
184,80
185,84
186,82
187,61
188,79
189,86
190,53
191,83
192,82
193,79
194,64
195,83
196,75
197,73
198,80
199,55
200,87
201,60
202,80
203,68
204,68
205,75
206,85
207,78
208,75
209,74
210,83
211,30
212,80
213,75
214,70
215,80
216,83
217,79
218,69
219,78
220,82
221,82
222,67
223,75
224,79
225,74
226,78
227,72
228,26
229,73
230,79
231,75
232,69
233,80
234,80
235,72
236,76
237,79
238,72
239,74
240,79
241,75
242,83
243,75
244,80
245,72
246,82
247,76
248,82
249,74
250,78
251,84
252,78
253,79
254,81
255,81
256,82
257,86
258,86
259,75
260,78
261,79
262,80
263,78
264,81
265,56
266,57
267,86
268,85
269,86
270,76
271,63
272,52
273,50
274,86
275,80
276,80
277,74
278,62
279,70
280,72
281,74
282,75
283,36
284,79
285,71
286,71
287,79
288,82
289,74
290,70
291,77
292,81
293,82
294,78
295,72
296,79
297,80
298,29
299,74
300,73
301,80
302,75
303,81
304,65
305,77
306,77
307,76
308,76
309,78
310,77
311,82
312,82
313,76
314,71
315,73
316,80
317,80
318,56
319,77
320,85
321,84
322,75
323,72
324,77
325,76
326,75
327,74
328,78
329,74
330,52
331,79
332,72
333,78
334,76
335,85
336,72
337,79
338,75
339,69
340,76
341,80
342,81
343,58
344,75
345,76
346,79
347,76
348,73
349,83
350,87
351,81
352,80
353,81
354,78
355,78
356,77
357,77
358,63
359,73
360,78
361,73
362,64
363,82
364,72
365,73
