,Defending
0,67
1,76
2,78
3,113
4,31
5,47
6,149
7,86
8,74
9,218
10,271
11,52
12,265
13,54
14,44
15,45
16,219
17,106
18,45
19,274
20,32
21,249
22,115
23,202
24,90
25,118
26,178
27,109
28,262
29,96
30,158
31,40
32,40
33,121
34,62
35,239
36,112
37,62
38,33
39,245
40,251
41,108
42,89
43,264
44,250
45,57
46,110
47,195
48,262
49,259
50,81
51,81
52,170
53,261
54,140
55,87
56,96
57,246
58,116
59,265
60,252
61,251
62,210
63,252
64,260
65,170
66,256
67,93
68,32
69,84
70,160
71,134
72,255
73,261
74,240
75,186
76,40
77,264
78,41
79,254
80,238
81,112
82,188
83,263
84,132
85,55
86,101
87,258
88,261
89,248
90,261
91,77
92,40
93,173
94,64
95,253
96,242
97,252
98,102
99,125
100,252
101,110
102,110
103,125
104,85
105,55
106,237
107,251
108,180
109,253
110,106
111,232
112,260
113,253
114,256
115,76
116,251
117,142
118,48
119,36
120,94
121,41
122,255
123,45
124,95
125,157
126,59
127,42
128,252
129,96
130,186
131,246
132,36
133,85
134,149
135,151
136,244
137,232
138,41
139,255
140,104
141,84
142,226
143,252
144,34
145,224
146,88
147,262
148,139
149,36
150,92
151,62
152,215
153,215
154,180
155,256
156,185
157,256
158,56
159,110
160,231
161,76
162,233
163,89
164,243
165,69
166,178
167,42
168,200
169,148
170,248
171,235
172,159
173,34
174,230
175,93
176,81
177,103
178,228
179,236
180,58
181,197
182,88
183,128
184,184
185,250
186,250
187,34
188,198
189,77
190,37
191,245
192,246
193,251
194,41
195,239
196,250
197,257
198,233
199,37
200,241
201,58
202,40
203,42
204,42
205,57
206,125
207,61
208,252
209,221
210,217
211,46
212,256
213,41
214,248
215,232
216,96
217,186
218,69
219,206
220,223
221,151
222,125
223,70
224,66
225,245
226,42
227,184
228,53
229,194
230,212
231,251
232,250
233,231
234,110
235,127
236,60
237,133
238,243
239,212
240,102
241,246
242,167
243,91
244,250
245,253
246,142
247,237
248,200
249,131
250,136
251,136
252,249
253,245
254,229
255,229
256,80
257,233
258,104
259,240
260,248
261,193
262,189
263,83
264,248
265,43
266,42
267,213
268,95
269,235
270,249
271,38
272,41
273,48
274,208
275,186
276,228
277,243
278,41
279,35
280,249
281,99
282,233
283,43
284,66
285,97
286,222
287,74
288,196
289,150
290,252
291,217
292,231
293,220
294,134
295,245
296,146
297,110
298,40
299,246
300,246
301,252
302,110
303,64
304,40
305,91
306,91
307,75
308,72
309,242
310,245
311,156
312,239
313,187
314,246
315,246
316,84
317,100
318,41
319,241
320,250
321,75
322,188
323,67
324,107
325,244
326,239
327,245
328,128
329,80
330,48
331,153
332,158
333,239
334,247
335,100
336,80
337,238
338,250
339,242
340,235
341,191
342,222
343,43
344,81
345,243
346,92
347,231
348,78
349,174
350,240
351,166
352,124
353,77
354,227
355,233
356,238
357,238
358,49
359,238
360,248
361,198
362,81
363,221
364,239
365,162
366,243
367,250
368,198
369,204
370,51
371,248
372,242
373,43
374,250
375,199
376,86
377,64
378,229
379,102
380,182
381,57
382,37
383,82
384,242
385,94
386,30
387,144
388,247
389,243
390,89
391,178
392,223
393,112
394,236
395,243
396,239
397,244
398,200
399,241
400,144
401,158
402,88
403,237
404,90
405,248
406,191
407,226
408,226
409,234
410,221
411,238
412,239
413,233
414,152
415,124
416,239
417,212
418,110
419,236
420,60
421,115
422,103
423,141
424,46
425,237
426,222
427,242
428,236
429,233
430,37
431,230
432,244
433,195
434,236
435,238
436,234
437,231
438,247
439,34
440,79
441,194
442,204
443,74
444,165
445,64
446,54
447,185
448,81
449,246
450,188
451,189
452,246
453,242
454,241
455,237
456,236
457,49
458,62
459,62
460,48
461,246
462,235
463,129
464,243
465,111
466,237
467,50
468,93
469,103
470,221
471,241
472,66
473,239
474,34
475,238
476,210
477,248
478,236
479,225
480,115
481,109
482,52
483,237
484,239
485,88
486,64
487,43
488,38
489,246
490,254
491,231
492,70
493,237
494,141
495,136
496,116
497,48
498,43
499,40
500,215
501,36
502,105
503,191
504,123
505,48
506,194
507,242
508,40
509,218
510,218
511,245
512,256
513,36
514,234
515,235
516,51
517,106
518,244
519,82
520,41
521,245
522,219
523,43
524,236
525,165
526,169
527,239
528,42
529,76
530,232
531,230
532,228
533,41
534,236
535,150
536,57
537,34
538,201
539,234
540,88
541,97
542,47
543,98
544,94
545,208
546,46
547,117
548,45
549,141
550,77
551,238
552,244
553,216
554,56
555,233
556,187
557,106
558,92
559,142
560,36
561,36
562,205
563,232
564,231
565,74
566,222
567,201
568,46
569,85
570,41
571,179
572,233
573,235
574,227
575,171
576,175
577,64
578,104
579,59
580,236
581,197
582,125
583,132
584,186
585,95
586,231
587,61
588,61
589,237
590,239
591,240
592,202
593,234
594,218
595,229
596,115
597,236
598,43
599,193
600,224
601,232
602,78
603,232
604,73
605,122
606,222
607,94
608,100
609,228
610,242
611,220
612,220
613,229
614,106
615,240
616,85
617,231
618,43
619,120
620,198
621,232
622,83
623,229
624,153
625,44
626,122
627,233
628,245
629,235
630,236
631,62
632,241
633,49
634,222
635,224
636,234
637,220
638,232
639,140
640,45
641,130
642,103
643,36
644,99
645,82
646,228
647,58
648,226
649,88
650,236
651,73
652,66
653,236
654,235
655,167
656,234
657,93
658,76
659,237
660,216
661,197
662,242
663,242
664,237
665,209
666,143
667,232
668,219
669,218
670,239
671,241
672,244
673,234
674,108
675,58
676,217
677,74
678,239
679,72
680,89
681,217
682,247
683,151
684,237
685,102
686,31
687,38
688,221
689,75
690,37
691,40
692,36
693,240
694,67
695,109
696,194
697,65
698,89
699,189
700,231
701,118
702,211
703,232
704,113
705,232
706,48
707,215
708,56
709,224
710,145
711,237
712,234
713,130
714,130
715,213
716,214
717,229
718,102
719,221
720,233
721,94
722,119
723,69
724,237
725,78
726,235
727,85
728,245
729,227
730,49
731,117
732,239
733,72
734,64
735,140
736,227
737,45
738,52
739,180
740,228
741,107
742,233
743,214
744,236
745,133
746,222
747,224
748,84
749,82
750,228
751,239
752,120
753,134
754,42
755,39
756,237
757,98
758,49
759,227
760,95
761,216
762,217
763,230
764,233
765,233
766,118
767,194
768,240
769,100
770,172
771,149
772,224
773,233
774,227
775,36
776,55
777,237
778,44
779,160
780,225
781,232
782,114
783,164
784,234
785,239
786,214
787,235
788,225
789,227
790,44
791,90
792,232
793,129
794,76
795,101
796,110
797,228
798,79
799,229
800,53
801,62
802,209
803,231
804,232
805,136
806,229
807,94
808,177
809,201
810,97
811,47
812,105
813,233
814,234
815,59
816,59
817,189
818,223
819,238
820,232
821,90
822,161
823,228
824,185
825,235
826,239
827,53
828,236
829,95
830,116
831,229
832,231
833,240
834,233
835,35
836,80
837,181
838,235
839,222
840,83
841,228
842,202
843,96
844,240
845,219
846,157
847,214
848,110
849,233
850,237
851,237
852,101
853,234
854,93
855,124
856,239
857,48
858,85
859,82
860,243
861,242
862,45
863,224
864,68
865,236
866,235
867,235
868,235
869,75
870,48
871,237
872,232
873,68
874,210
875,225
876,222
877,190
878,244
879,218
880,37
881,166
882,35
883,204
884,168
885,56
886,238
887,231
888,103
889,84
890,234
891,57
892,234
893,237
894,240
895,235
896,224
897,218
898,230
899,225
900,233
901,233
902,96
903,34
904,242
905,44
906,71
907,226
908,204
909,221
910,230
911,82
912,107
913,94
914,218
915,79
916,41
917,132
918,57
919,181
920,210
921,78
922,222
923,233
924,80
925,229
926,233
927,132
928,74
929,82
930,209
931,56
932,136
933,216
934,237
935,110
936,182
937,113
938,64
939,78
940,226
941,236
942,47
943,90
944,236
945,183
946,228
947,31
948,77
949,110
950,63
951,236
952,221
953,119
954,113
955,200
956,133
957,244
958,77
959,40
960,225
961,217
962,222
963,235
964,232
965,42
966,118
967,90
968,58
969,58
970,220
971,235
972,63
973,96
974,213
975,229
976,148
977,92
978,219
979,76
980,238
981,235
982,240
983,227
984,234
985,103
986,93
987,197
988,215
989,229
990,221
991,207
992,60
993,231
994,112
995,214
996,202
997,82
998,131
999,235
1000,59
1001,224
1002,94
1003,78
1004,234
1005,80
1006,217
1007,216
1008,62
1009,134
1010,226
1011,104
1012,100
1013,65
1014,225
1015,61
1016,77
1017,240
1018,61
1019,114
1020,114
1021,239
1022,185
1023,85
1024,47
1025,196
1026,186
1027,43
1028,200
1029,227
1030,232
1031,79
1032,150
1033,109
1034,37
1035,234
1036,95
1037,93
1038,97
1039,224
1040,70
1041,228
1042,228
1043,55
1044,87
1045,212
1046,90
1047,239
1048,86
1049,227
1050,36
1051,226
1052,98
1053,61
1054,39
1055,222
1056,212
1057,37
1058,125
1059,234
1060,87
1061,201
1062,39
1063,234
1064,82
1065,89
1066,87
1067,84
1068,197
1069,234
1070,162
1071,162
1072,224
1073,236
1074,157
1075,239
1076,60
1077,231
1078,229
1079,91
1080,110
1081,100
1082,45
1083,69
1084,223
1085,229
1086,228
1087,43
1088,85
1089,92
1090,199
1091,218
1092,240
1093,190
1094,232
1095,231
1096,227
1097,130
1098,219
1099,229
1100,153
1101,72
1102,192
1103,76
1104,223
1105,90
1106,187
1107,45
1108,97
1109,79
1110,133
1111,225
1112,231
1113,208
1114,221
1115,236
1116,174
1117,201
1118,34
1119,231
1120,242
1121,113
1122,113
1123,234
1124,215
1125,210
1126,91
1127,52
1128,120
1129,122
1130,93
1131,233
1132,110
1133,223
1134,216
1135,230
1136,181
1137,227
1138,167
1139,116
1140,227
1141,77
1142,230
1143,244
1144,62
1145,216
1146,107
1147,230
1148,224
1149,233
1150,133
1151,113
1152,33
1153,216
1154,172
1155,218
1156,48
1157,205
1158,207
1159,228
1160,148
1161,43
1162,221
1163,124
1164,208
1165,227
1166,59
1167,222
1168,231
1169,49
1170,88
1171,236
1172,45
1173,45
1174,221
1175,229
1176,209
1177,154
1178,78
1179,179
1180,227
1181,64
1182,230
1183,226
1184,232
1185,93
1186,220
1187,230
1188,122
1189,209
1190,205
1191,226
1192,118
1193,228
1194,231
1195,215
1196,225
1197,139
1198,217
1199,229
1200,184
1201,42
1202,88
1203,60
1204,74
1205,162
1206,216
1207,237
1208,115
1209,228
1210,230
1211,113
1212,78
1213,103
1214,201
1215,79
1216,43
1217,216
1218,231
1219,91
1220,229
1221,79
1222,49
1223,226
1224,226
1225,51
1226,236
1227,84
1228,204
1229,76
1230,189
1231,213
1232,240
1233,163
1234,239
1235,219
1236,157
1237,133
1238,170
1239,236
1240,56
1241,221
1242,196
1243,224
1244,203
1245,48
1246,232
1247,230
1248,109
1249,73
1250,236
1251,37
1252,223
1253,89
1254,204
1255,204
1256,238
1257,106
1258,211
1259,229
1260,125
1261,229
1262,186
1263,75
1264,215
1265,86
1266,212
1267,204
1268,184
1269,232
1270,226
1271,137
1272,236
1273,53
1274,235
1275,235
1276,123
1277,97
1278,230
1279,225
1280,55
1281,235
1282,120
1283,223
1284,219
1285,104
1286,73
1287,151
1288,103
1289,229
1290,231
1291,243
1292,105
1293,35
1294,196
1295,220
1296,76
1297,224
1298,229
1299,93
1300,74
1301,223
1302,109
1303,128
1304,226
1305,103
1306,228
1307,205
1308,188
1309,206
1310,222
1311,69
1312,215
1313,230
1314,105
1315,232
1316,200
1317,36
1318,73
1319,224
1320,218
1321,92
1322,40
1323,145
1324,63
1325,227
1326,227
1327,234
1328,108
1329,44
1330,226
1331,219
1332,134
1333,114
1334,89
1335,228
1336,184
1337,218
1338,220
1339,76
1340,232
1341,40
1342,232
1343,221
1344,214
1345,71
1346,138
1347,216
1348,65
1349,159
1350,227
1351,235
1352,72
1353,47
1354,37
1355,214
1356,230
1357,135
1358,61
1359,42
1360,166
1361,37
1362,105
1363,51
1364,233
1365,117
1366,123
1367,227
1368,46
1369,224
1370,176
1371,52
1372,76
1373,225
1374,233
1375,37
1376,234
1377,234
1378,91
1379,134
1380,228
1381,93
1382,46
1383,209
1384,232
1385,99
1386,106
1387,221
1388,70
1389,143
1390,225
1391,48
1392,96
1393,219
1394,85
1395,225
1396,221
1397,118
1398,223
1399,79
1400,158
1401,99
1402,231
1403,139
1404,63
1405,40
1406,194
1407,129
1408,229
1409,232
1410,239
1411,229
1412,36
1413,120
1414,65
1415,67
1416,229
1417,64
1418,220
1419,232
1420,176
1421,91
1422,238
1423,105
1424,158
1425,219
1426,47
1427,42
1428,42
1429,191
1430,36
1431,38
1432,239
1433,96
1434,76
1435,175
1436,202
1437,58
1438,217
1439,159
1440,86
1441,233
1442,125
1443,230
1444,228
1445,208
1446,74
1447,203
1448,88
1449,228
1450,78
1451,232
1452,222
1453,228
1454,232
1455,125
1456,237
1457,236
1458,214
1459,116
1460,233
1461,230
1462,84
1463,222
1464,72
1465,234
1466,230
1467,51
1468,229
1469,218
1470,223
1471,35
1472,132
1473,61
1474,221
1475,228
1476,217
1477,38
1478,223
1479,223
1480,94
1481,233
1482,22
1483,234
1484,72
1485,52
1486,230
1487,56
1488,227
1489,226
1490,194
1491,223
1492,71
1493,220
1494,37
1495,199
1496,202
1497,70
1498,206
1499,225
1500,221
1501,193
1502,227
1503,56
1504,105
1505,94
1506,221
1507,98
1508,214
1509,97
1510,216
1511,224
1512,228
1513,45
1514,223
1515,86
1516,93
1517,235
1518,216
1519,86
1520,237
1521,228
1522,96
1523,133
1524,104
1525,106
1526,212
1527,56
1528,142
1529,227
1530,227
1531,114
1532,223
1533,102
1534,63
1535,72
1536,227
1537,202
1538,222
1539,201
1540,234
1541,223
1542,231
1543,111
1544,42
1545,70
1546,85
1547,220
1548,227
1549,226
1550,208
1551,234
1552,96
1553,76
1554,224
1555,34
1556,236
1557,228
1558,179
1559,226
1560,66
1561,239
1562,80
1563,120
1564,134
1565,189
1566,224
1567,228
1568,218
1569,168
1570,135
1571,233
1572,217
1573,223
1574,164
1575,219
1576,198
1577,220
1578,189
1579,44
1580,225
1581,225
1582,84
1583,48
1584,172
1585,82
1586,197
1587,74
1588,227
1589,223
1590,218
1591,212
1592,226
1593,52
1594,216
1595,220
1596,231
1597,62
1598,158
1599,95
1600,104
1601,69
1602,222
1603,232
1604,228
1605,235
1606,222
1607,217
1608,34
1609,210
1610,198
1611,219
1612,219
1613,79
1614,77
1615,118
1616,118
1617,125
1618,236
1619,200
1620,138
1621,87
1622,219
1623,221
1624,55
1625,192
1626,56
1627,90
1628,59
1629,228
1630,78
1631,232
1632,232
1633,94
1634,36
1635,231
1636,156
1637,40
1638,230
1639,216
1640,88
1641,157
1642,204
1643,223
1644,177
1645,220
1646,220
1647,99
1648,221
1649,219
1650,210
1651,107
1652,47
1653,159
1654,147
1655,222
1656,226
1657,69
1658,223
1659,173
1660,214
1661,33
1662,229
1663,233
1664,87
1665,124
1666,104
1667,222
1668,102
1669,91
1670,158
1671,92
1672,216
1673,223
1674,43
1675,211
1676,208
1677,226
1678,220
1679,97
1680,170
1681,77
1682,231
1683,231
1684,227
1685,215
1686,216
1687,87
1688,85
1689,203
1690,221
1691,163
1692,232
1693,56
1694,204
1695,222
1696,179
1697,124
1698,43
1699,107
1700,102
1701,225
1702,88
1703,185
1704,221
1705,98
1706,217
1707,231
1708,83
1709,215
1710,221
1711,202
1712,226
1713,230
1714,221
1715,231
1716,96
1717,111
1718,39
1719,217
1720,220
1721,61
1722,54
1723,151
1724,228
1725,53
1726,117
1727,88
1728,95
1729,79
1730,214
1731,224
1732,33
1733,96
1734,96
1735,94
1736,208
1737,219
1738,70
1739,45
1740,200
1741,72
1742,235
1743,221
1744,218
1745,226
1746,231
1747,78
1748,216
1749,218
1750,125
1751,107
1752,213
1753,75
1754,63
1755,215
1756,227
1757,212
1758,99
1759,221
1760,225
1761,217
1762,216
1763,103
1764,111
1765,225
1766,214
1767,221
1768,95
1769,231
1770,221
1771,112
1772,216
1773,84
1774,228
1775,220
1776,145
1777,130
1778,221
1779,63
1780,114
1781,72
1782,93
1783,79
1784,76
1785,76
1786,221
1787,184
1788,74
1789,227
1790,73
1791,227
1792,72
1793,218
1794,46
1795,211
1796,170
1797,214
1798,78
1799,232
1800,168
1801,216
1802,64
1803,223
1804,47
1805,103
1806,211
1807,113
1808,46
1809,46
1810,216
1811,119
1812,225
1813,214
1814,209
1815,220
1816,229
1817,149
1818,138
1819,230
1820,130
1821,209
1822,69
1823,39
1824,216
1825,121
1826,225
1827,81
1828,114
1829,101
1830,206
1831,211
1832,226
1833,213
1834,84
1835,219
1836,219
1837,211
1838,118
1839,185
1840,61
1841,43
1842,78
1843,226
1844,196
1845,226
1846,59
1847,75
1848,53
1849,49
1850,218
1851,87
1852,232
1853,47
1854,154
1855,221
1856,221
1857,227
1858,214
1859,226
1860,46
1861,76
1862,69
1863,224
1864,237
1865,48
1866,141
1867,212
1868,96
1869,180
1870,228
1871,221
1872,68
1873,138
1874,215
1875,38
1876,43
1877,228
1878,228
1879,217
1880,50
1881,227
1882,219
1883,203
1884,126
1885,86
1886,217
1887,217
1888,59
1889,226
1890,223
1891,35
1892,215
1893,108
1894,134
1895,136
1896,133
1897,65
1898,223
1899,231
1900,69
1901,48
1902,226
1903,223
1904,39
1905,200
1906,58
1907,221
1908,224
1909,221
1910,175
1911,230
1912,223
1913,225
1914,230
1915,224
1916,233
1917,191
1918,171
1919,231
1920,108
