,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL
0,L. Messi,30,94,$633K,94,$132.7M,2161
1,Cristiano Ronaldo,32,94,$633K,94,$107M,2228
2,Neymar,25,92,$314K,93,$133.8M,2105
3,L. Suárez,30,92,$571K,92,$108.6M,2321
4,M. Neuer,31,92,$258K,92,$68.3M,1487
5,De Gea,26,91,$330K,93,$83.4M,1465
6,K. De Bruyne,26,91,$442K,92,$117M,2234
7,R. Lewandowski,28,91,$398K,91,$103M,2151
8,E. Hazard,26,91,$454K,91,$107M,2122
9,T. Kroos,27,90,$381K,90,$88.5M,2189
10,M. Hummels,28,90,$241K,90,$70M,2063
11,G. Higuaín,29,90,$308K,90,$86.2M,1965
12,Sergio Ramos,31,90,$347K,90,$58.2M,2154
13,P. Dybala,23,89,$241K,94,$99.7M,2086
14,J. Oblak,24,89,$92K,93,$69.4M,1297
15,T. Courtois,25,89,$213K,92,$66.1M,1298
16,L. Modrić,31,89,$381K,89,$63.8M,2231
17,David Silva,31,89,$319K,89,$65.5M,2013
18,S. Agüero,29,89,$364K,89,$74.5M,2087
19,G. Chiellini,32,89,$252K,89,$42.6M,1867
20,G. Buffon,39,89,$123K,89,$5M,1335
21,N. Kanté,26,88,$274K,90,$66.6M,2166
22,H. Kane,23,88,$235K,91,$85.7M,2120
23,P. Pogba,24,88,$280K,92,$85.1M,2262
24,A. Griezmann,26,88,$168K,89,$79.5M,2153
25,C. Eriksen,25,88,$235K,91,$83.4M,2091
26,Thiago,26,88,$252K,89,$76.7M,2189
27,A. Sánchez,28,88,$364K,88,$67.2M,2194
28,D. Godín,31,88,$140K,88,$44.8M,1937
29,E. Cavani,30,88,$235K,88,$63.8M,2111
30,G. Bale,27,88,$414K,88,$69.4M,2260
31,H. Lloris,30,88,$185K,88,$42.6M,1315
32,S. Handanovič,32,88,$134K,88,$38.1M,1254
33,M. Salah,25,87,$230K,90,$70.6M,2136
34,M. Icardi,24,87,$134K,91,$74.5M,1916
35,M. Verratti,24,87,$146K,90,$70.6M,2156
36,J. Rodríguez,25,87,$280K,90,$70.6M,2136
37,L. Insigne,26,87,$151K,88,$66.1M,1982
38,M. ter Stegen,25,87,$207K,90,$49.8M,1285
39,Sergio Busquets,28,87,$280K,87,$45.9M,2045
40,Jordi Alba,28,87,$280K,87,$44.8M,2231
41,Coutinho,25,87,$308K,90,$70.6M,2074
42,P. Aubameyang,28,87,$246K,87,$58.2M,2065
43,J. Boateng,28,87,$185K,87,$45.9M,1981
44,Marcelo,29,87,$280K,87,$42.6M,2214
45,M. Özil,28,87,$230K,87,$57.1M,1920
46,D. Mertens,30,87,$151K,87,$54.3M,2050
47,M. Hamšík,29,87,$146K,87,$54.3M,2184
48,Thiago Silva,32,87,$151K,87,$32.5M,2108
49,Piqué,30,87,$269K,87,$42M,1974
50,A. Robben,33,87,$196K,87,$34.2M,2071
51,A. Robben,33,87,$196K,87,$34.2M,2071
52,Iniesta,33,87,$22K,87,$33M,2060
53,Casemiro,25,86,$258K,89,$52.6M,2159
54,Isco,25,86,$280K,89,$61.6M,2119
55,R. Lukaku,24,86,$235K,90,$66.1M,2018
56,C. Immobile,27,86,$123K,86,$53.2M,2003
57,Alex Sandro,26,86,$196K,87,$47.6M,2207
58,T. Müller,27,86,$213K,86,$53.2M,2081
59,Azpilicueta,27,86,$213K,88,$48.7M,2122
60,L. Bonucci,30,86,$185K,86,$37M,1988
61,A. Vidal,30,86,$179K,86,$37M,2253
62,M. Pjanić,27,86,$213K,86,$51M,2190
63,R. Nainggolan,29,86,$146K,86,$47.6M,2286
64,J. Vertonghen,30,86,$174K,86,$37M,2088
65,I. Rakitić,29,86,$308K,86,$47.6M,2127
66,Filipe Luís,31,86,$106K,86,$32.5M,2153
67,L. Sané,21,85,$185K,92,$61M,2062
68,Ederson,23,85,$129K,89,$40.3M,1437
69,Y. Carrasco,23,85,$0,90,$0,1993
70,R. Sterling,22,85,$202K,88,$54.9M,2014
71,Roberto Firmino,25,85,$196K,87,$53.8M,2163
72,R. Varane,24,85,$196K,92,$52.1M,1882
73,K. Koulibaly,26,85,$107K,88,$44.8M,1638
74,D. Alaba,25,85,$146K,87,$43.1M,2263
75,Koke,25,85,$95K,88,$53.2M,2146
76,K. Navas,30,85,$185K,85,$27.4M,1302
77,K. Manolas,26,85,$107K,87,$43.1M,1651
78,B. Leno,25,85,$69K,88,$38.1M,1247
79,N. Otamendi,29,85,$202K,85,$33.6M,1931
80,N. Matić,28,85,$202K,85,$34.7M,2146
81,M. Reus,28,85,$110K,85,$43.7M,2140
82,I. Gündoğan,26,85,$213K,86,$49.8M,2138
83,T. Alderweireld,28,85,$157K,86,$39.2M,2040
84,I. Perišić,28,85,$123K,85,$43.7M,2131
85,E. Džeko,31,85,$129K,85,$38.6M,1890
86,Diego Costa,28,85,$112K,85,$44.8M,1976
87,M. Benatia,30,85,$162K,85,$31.9M,1789
88,Sokratis,29,85,$101K,85,$33.6M,1853
89,B. Matuidi,30,85,$162K,85,$31.9M,2194
90,Miranda,32,85,$107K,85,$24.6M,1881
91,Falcao,31,85,$76K,85,$38.6M,2018
92,K. Benzema,29,85,$280K,85,$43.1M,1953
93,Cesc Fàbregas,30,85,$196K,85,$39.8M,2082
94,F. Ribéry,34,85,$168K,85,$21.8M,1949
95,V. Kompany,31,85,$190K,85,$29.1M,1913
96,Fernandinho,32,85,$190K,85,$24.6M,2196
97,Pepe,34,85,$90K,85,$12.9M,1831
98,Z. Ibrahimović,35,85,$17K,85,$19.6M,2024
99,K. Mbappé,18,84,$46K,94,$52.6M,2074
100,E. Bailly,23,84,$168K,89,$39.8M,1890
101,Marco Asensio,21,84,$218K,92,$51.5M,2028
102,Marco Asensio,21,84,$218K,92,$51.5M,2028
103,Bernardo Silva,22,84,$202K,90,$47.6M,2024
104,N. Fekir,23,84,$103K,88,$45.4M,2079
105,Alisson,24,84,$71K,90,$34.7M,1288
106,J. Kimmich,22,84,$129K,88,$37.5M,2178
107,N. Süle,21,84,$118K,90,$40.9M,1638
108,D. Alli,21,84,$129K,90,$48.2M,2126
109,Fabinho,23,84,$55K,89,$39.8M,2129
110,S. Mané,25,84,$196K,85,$41.4M,2055
111,Saúl,22,84,$86K,91,$48.2M,2149
112,Marquinhos,23,84,$110K,89,$39.8M,1887
113,S. Umtiti,23,84,$196K,90,$40.9M,2125
114,Carvajal,25,84,$218K,87,$35.8M,2039
115,R. Mahrez,26,84,$134K,84,$37.5M,1984
116,V. van Dijk,25,84,$162K,86,$35.3M,2023
117,J. Draxler,23,84,$134K,87,$44.2M,2097
118,Morata,24,84,$190K,88,$45.9M,1878
119,T. Horn,24,84,$44K,90,$34.7M,1259
120,H. Son,24,84,$140K,87,$44.2M,2056
121,A. Lopes,26,84,$87K,86,$29.1M,1353
122,S. de Vrij,25,84,$82K,89,$39.2M,1803
123,M. Perin,24,84,$40K,89,$33.6M,1248
124,A. Lacazette,26,84,$202K,85,$41.4M,2050
125,H. Mkhitaryan,28,84,$196K,84,$35.3M,2135
126,Iago Aspas,29,84,$57K,84,$34.2M,2052
127,D. Subašić,32,84,$52K,84,$20.2M,1295
128,K. Glik,29,84,$67K,84,$26.9M,1606
129,Douglas Costa,26,84,$168K,84,$37.5M,2050
130,Parejo,28,84,$66K,84,$34.7M,2123
131,K. Walker,27,84,$190K,84,$28.6M,2180
132,W. Szczęsny,27,84,$134K,86,$28M,1262
133,Y. Brahimi,27,84,$30K,84,$36.4M,1990
134,A. Di María,29,84,$162K,84,$34.2M,2097
135,Willian,28,84,$224K,84,$35.3M,2061
136,David Luiz,30,84,$179K,84,$25.8M,2115
137,S. Khedira,30,84,$179K,84,$32.5M,2155
