,position
0,"['CF', 'ST', 'RW']"
1,"['LW', 'ST']"
2,['LW']
3,['ST']
4,['GK']
5,['GK']
6,"['CAM', 'CM']"
7,['ST']
8,"['LW', 'CF']"
9,"['CM', 'CDM']"
10,['CB']
11,['ST']
12,['CB']
13,"['CAM', 'ST']"
14,['GK']
15,['GK']
16,"['CM', 'CDM']"
17,"['CAM', 'CM']"
18,['ST']
19,['CB']
20,['GK']
21,"['CDM', 'CM']"
22,['ST']
23,"['CM', 'CDM']"
24,"['ST', 'RW', 'LW']"
25,"['CAM', 'RM', 'CM']"
26,"['CM', 'CAM', 'CDM']"
27,"['LW', 'ST', 'LM']"
28,['CB']
29,['ST']
30,"['RW', 'ST', 'LW']"
31,['GK']
32,['GK']
33,['RW']
34,['ST']
35,"['CM', 'CDM']"
36,"['CAM', 'CM', 'RM']"
37,['LW']
38,['GK']
39,"['CDM', 'CM']"
40,['LB']
41,"['LW', 'LM', 'RM', 'CM']"
42,['ST']
43,['CB']
44,['LB']
45,"['CAM', 'RW']"
46,"['CF', 'ST']"
47,['CM']
48,['CB']
49,['CB']
50,"['RM', 'RW']"
51,"['RM', 'RW']"
52,"['CM', 'LM']"
53,['CDM']
54,"['CM', 'CAM']"
55,['ST']
56,['ST']
57,"['LB', 'LM']"
58,"['CF', 'RW', 'CAM', 'ST']"
59,['CB']
60,['CB']
61,"['CDM', 'CM']"
62,"['CM', 'CDM']"
63,"['CM', 'CAM']"
64,['CB']
65,['CM']
66,['LB']
67,"['LW', 'RW']"
68,['GK']
69,"['LM', 'RM']"
70,"['RW', 'LW', 'CF']"
71,"['ST', 'LW']"
72,['CB']
73,['CB']
74,"['LB', 'CB', 'CM']"
75,"['CM', 'RM', 'LM']"
76,['GK']
77,['CB']
78,['GK']
79,['CB']
80,"['CDM', 'CM']"
81,"['LM', 'LW', 'ST', 'CAM']"
82,"['CM', 'CDM']"
83,['CB']
84,"['LM', 'CAM']"
85,['ST']
86,['ST']
87,['CB']
88,['CB']
89,"['CDM', 'CM']"
90,['CB']
91,['ST']
92,['ST']
93,"['CM', 'CDM']"
94,"['LM', 'LW']"
95,['CB']
96,"['CDM', 'CM']"
97,['CB']
98,['ST']
99,"['ST', 'RW']"
100,['CB']
101,"['LW', 'CAM', 'RW']"
102,"['LW', 'CAM', 'RW']"
103,['RW']
104,"['CAM', 'ST']"
105,['GK']
106,"['RB', 'CM', 'CB', 'CDM']"
107,['CB']
108,"['CAM', 'CF']"
109,['CDM']
110,"['LW', 'RW']"
111,"['CM', 'LM', 'RM']"
112,['CB']
113,['CB']
114,['RB']
115,['RM']
116,['CB']
117,"['LW', 'CM', 'LM', 'CAM']"
118,['ST']
119,['GK']
120,"['LM', 'ST']"
121,['GK']
122,['CB']
123,['GK']
124,['ST']
125,"['CAM', 'RW', 'RM', 'LM']"
126,"['RW', 'ST']"
127,['GK']
128,['CB']
129,"['LM', 'RW', 'LW']"
130,"['CM', 'CAM', 'CDM']"
131,"['RB', 'RWB']"
132,['GK']
133,['LM']
134,"['RW', 'LW']"
135,"['RW', 'RM']"
136,['CB']
137,"['CM', 'CDM']"
138,['GK']
139,"['CDM', 'CB']"
140,"['CAM', 'LW']"
141,['ST']
142,"['CM', 'CDM']"
143,['CB']
144,['GK']
145,"['CM', 'CDM']"
146,"['CF', 'LW', 'ST']"
147,['CB']
148,['ST']
149,['GK']
150,"['RW', 'LW']"
151,['ST']
