,Nationality
0,Argentina
1,Portugal
2,Brazil
3,Uruguay
4,Germany
5,Spain
6,Belgium
7,Poland
8,Belgium
9,Germany
10,Germany
11,Argentina
12,Spain
13,Argentina
14,Slovenia
15,Belgium
16,Croatia
17,Spain
18,Argentina
19,Italy
20,Italy
21,France
22,England
23,France
24,France
25,Denmark
26,Spain
27,Chile
28,Uruguay
29,Uruguay
30,Wales
31,France
32,Slovenia
33,Egypt
34,Argentina
35,Italy
36,Colombia
37,Italy
38,Germany
39,Spain
40,Spain
41,Brazil
42,Gabon
43,Germany
44,Brazil
45,Germany
46,Belgium
47,Slovakia
48,Brazil
49,Spain
50,Netherlands
51,Netherlands
52,Spain
53,Brazil
54,Spain
55,Belgium
56,Italy
57,Brazil
58,Germany
59,Spain
60,Italy
61,Chile
62,Bosnia Herzegovina
63,Belgium
64,Belgium
65,Croatia
66,Brazil
67,Germany
68,Brazil
69,Belgium
70,England
71,Brazil
72,France
73,Senegal
74,Austria
75,Spain
76,Costa Rica
77,Greece
78,Germany
79,Argentina
80,Serbia
81,Germany
82,Germany
83,Belgium
84,Croatia
85,Bosnia Herzegovina
86,Spain
87,Morocco
88,Greece
89,France
90,Brazil
91,Colombia
92,France
93,Spain
94,France
95,Belgium
96,Brazil
97,Portugal
98,Sweden
99,France
100,Ivory Coast
101,Spain
102,Spain
103,Portugal
104,France
105,Brazil
106,Germany
107,Germany
108,England
109,Brazil
110,Senegal
111,Spain
112,Brazil
113,France
114,Spain
115,Algeria
116,Netherlands
117,Germany
118,Spain
119,Germany
120,Korea Republic
121,Portugal
122,Netherlands
123,Italy
124,France
125,Armenia
126,Spain
127,Croatia
128,Poland
129,Brazil
130,Spain
131,England
132,Poland
133,Algeria
134,Argentina
135,Brazil
136,Brazil
137,Germany
138,Spain
139,Spain
140,France
141,Brazil
142,Italy
143,Brazil
144,France
145,Belgium
146,Argentina
147,Italy
148,Spain
149,Czech Republic
150,France
151,Brazil
152,Serbia
153,Serbia
154,Guinea
155,Uruguay
156,France
157,France
158,Germany
159,France
160,Germany
161,Netherlands
162,Portugal
163,France
164,Portugal
165,Spain
166,Portugal
167,Germany
168,Colombia
169,Germany
170,Germany
171,Spain
172,Argentina
173,Finland
174,Netherlands
175,Spain
176,Japan
177,Netherlands
178,Brazil
179,France
180,Italy
181,Wales
182,Spain
183,Brazil
184,Croatia
185,Argentina
186,Germany
187,Germany
188,Argentina
189,Spain
190,Portugal
191,Germany
192,Poland
193,Argentina
194,Italy
195,Ecuador
196,France
197,Spain
198,Brazil
199,Norway
200,Italy
201,Spain
202,Portugal
203,Italy
204,Italy
205,Jamaica
206,Portugal
207,Brazil
208,Colombia
209,France
210,Ivory Coast
211,Argentina
212,Denmark
213,France
214,Germany
215,Brazil
216,Italy
217,Portugal
218,Germany
219,Portugal
220,France
221,England
222,Spain
223,Italy
224,Sweden
225,Brazil
226,Colombia
227,Croatia
228,Spain
229,Spain
230,Italy
231,Montenegro
232,Spain
233,Italy
234,Belgium
235,Italy
236,Spain
237,Brazil
238,Spain
239,Switzerland
240,Ivory Coast
241,Cameroon
242,Slovenia
243,Brazil
244,Senegal
245,Spain
246,Switzerland
247,Spain
248,Italy
249,Brazil
250,Brazil
251,Ukraine
252,Turkey
253,Brazil
254,Portugal
255,Portugal
256,Italy
257,Spain
258,Germany
259,Serbia
260,Croatia
261,Netherlands
262,England
263,France
264,Serbia
265,Spain
266,Switzerland
267,Belgium
268,France
269,Brazil
270,England
271,France
272,Denmark
273,Italy
274,Portugal
275,Spain
276,Argentina
277,Spain
278,Spain
279,Spain
280,Slovakia
281,England
282,Portugal
283,Spain
284,Croatia
285,Spain
286,Spain
287,Senegal
288,Portugal
289,Brazil
290,Italy
291,France
292,Portugal
293,Brazil
294,Morocco
295,Bosnia Herzegovina
296,England
297,Italy
298,Spain
299,Wales
300,Germany
301,Serbia
302,Austria
303,Belgium
304,England
305,Germany
306,Germany
307,Netherlands
308,Spain
309,Belgium
310,England
311,Brazil
312,France
313,Brazil
314,Brazil
315,Spain
316,Slovenia
317,Germany
318,Netherlands
319,Brazil
320,Italy
321,France
322,England
323,Spain
324,Spain
325,Spain
326,Ivory Coast
327,Uruguay
328,Italy
329,Ukraine
330,Brazil
331,Germany
332,Morocco
333,Chile
334,Russia
335,Mexico
336,Italy
337,Spain
338,England
339,England
340,Spain
341,England
342,Germany
343,Switzerland
344,Argentina
345,Kenya
346,Algeria
347,Spain
348,Russia
349,Germany
350,Serbia
351,Iceland
352,Austria
353,Argentina
354,England
355,Italy
356,France
357,France
358,Uruguay
359,Brazil
360,Republic of Ireland
361,Spain
362,France
363,Ghana
364,Spain
365,Italy
366,Italy
367,Italy
368,Denmark
369,Mexico
370,England
371,England
372,Slovakia
373,England
374,France
375,Portugal
376,France
377,Germany
378,Spain
379,Brazil
380,Turkey
381,Portugal
382,Spain
383,Spain
384,France
385,Cameroon
386,Czech Republic
387,Paraguay
388,Nigeria
389,France
390,Portugal
391,Argentina
392,Germany
393,Dominican Republic
394,Brazil
395,Colombia
396,France
397,France
398,Croatia
399,Brazil
400,Argentina
401,Germany
402,Portugal
403,Albania
404,Spain
405,Italy
406,Poland
407,Spain
408,Spain
409,Ghana
410,Portugal
411,Germany
412,Germany
413,France
414,Turkey
415,Spain
416,England
417,Argentina
418,France
419,Ukraine
420,Brazil
421,Bosnia Herzegovina
422,Brazil
423,Spain
424,England
425,Germany
426,Spain
427,United States
428,Germany
429,Croatia
430,Germany
431,Spain
432,England
433,Netherlands
434,Denmark
435,Senegal
436,Argentina
437,Algeria
438,Colombia
439,France
440,Germany
441,Chile
442,Netherlands
443,Spain
444,England
445,Colombia
446,Cameroon
447,Chile
448,Spain
449,France
450,Italy
451,Turkey
452,Ukraine
453,Croatia
454,England
455,Spain
456,Switzerland
457,France
458,Turkey
459,Turkey
460,Belgium
461,Spain
462,Germany
463,Russia
464,Brazil
465,Argentina
466,Netherlands
467,Netherlands
468,Serbia
469,Spain
470,Spain
471,England
472,Spain
473,France
474,Germany
475,Cameroon
476,Russia
477,Argentina
478,England
479,England
480,Guinea
481,Argentina
482,Greece
483,France
484,Brazil
485,Montenegro
486,Italy
487,Spain
488,Spain
489,Spain
490,Germany
491,France
492,Sweden
493,Sweden
494,Argentina
495,Slovenia
496,Spain
497,Chile
498,Belgium
499,Argentina
500,Nigeria
501,Bosnia Herzegovina
502,Argentina
503,Spain
504,Argentina
505,Mexico
506,Brazil
507,Brazil
508,Italy
509,Germany
510,Germany
511,Argentina
512,Romania
513,Poland
514,France
515,England
516,Italy
517,France
518,Brazil
519,Ivory Coast
520,France
521,Sweden
522,Mexico
523,Russia
524,Russia
525,Spain
526,Argentina
527,Argentina
528,Italy
529,Brazil
530,England
531,Canada
532,Germany
533,Spain
534,Switzerland
535,England
536,Spain
537,Italy
538,Ivory Coast
539,Netherlands
540,Brazil
541,Spain
542,Russia
543,United States
544,Mali
545,Russia
546,Uruguay
547,Romania
548,Cameroon
549,Argentina
550,Mexico
551,France
552,Italy
553,Uruguay
554,Paraguay
555,Brazil
556,Germany
557,Algeria
558,Portugal
559,Spain
560,Italy
561,Italy
562,Belgium
563,Scotland
564,Italy
565,Argentina
566,Argentina
567,Algeria
568,Russia
569,Portugal
570,Albania
571,Germany
572,Spain
573,Argentina
574,Portugal
575,Spain
576,Brazil
577,Belgium
578,Burkina Faso
579,Venezuela
580,Germany
581,Germany
582,Russia
583,Germany
584,Italy
585,Poland
586,France
587,Cape Verde
588,France
589,England
590,Spain
591,England
592,Spain
593,Brazil
594,Germany
595,France
596,Uruguay
597,Spain
598,Romania
599,Czech Republic
600,Croatia
601,France
602,Ukraine
603,France
604,Spain
605,Turkey
606,Spain
607,Spain
608,Serbia
609,Brazil
610,Croatia
611,Poland
612,Poland
613,Argentina
614,Spain
615,Argentina
616,Austria
617,Spain
618,Spain
619,Germany
620,Argentina
621,Spain
622,Turkey
623,Slovakia
624,England
625,Switzerland
626,Spain
627,Spain
628,Germany
629,Brazil
630,Portugal
631,Argentina
632,Germany
633,Turkey
634,Bosnia Herzegovina
635,Ecuador
636,Russia
637,France
638,Ghana
639,Japan
640,Germany
641,Uruguay
642,Mexico
643,Germany
644,England
645,Croatia
646,Spain
647,Hungary
648,Brazil
649,Algeria
650,Brazil
651,Belgium
652,Germany
653,Argentina
654,England
655,Morocco
656,Portugal
657,Netherlands
658,Mexico
659,Germany
660,Belgium
661,Austria
662,Mexico
663,Mexico
664,Argentina
665,France
666,Belgium
667,Portugal
668,Belgium
669,Turkey
670,England
671,Northern Ireland
672,Italy
673,Uzbekistan
674,England
675,Italy
676,Morocco
677,France
678,Argentina
679,Spain
680,Peru
681,England
682,Russia
683,Russia
684,Spain
685,Spain
686,Ukraine
687,Argentina
688,Germany
689,Turkey
690,Germany
691,France
692,Cameroon
693,England
694,Togo
695,Spain
696,Turkey
697,Uruguay
698,Brazil
699,Spain
700,Spain
701,Morocco
702,Italy
703,Spain
704,Brazil
705,France
706,Cameroon
707,Spain
708,Argentina
709,Spain
710,Germany
711,Spain
712,Serbia
713,Portugal
714,Portugal
715,Portugal
716,Uruguay
717,France
718,Syria
719,Spain
720,Sweden
721,Serbia
722,Ecuador
723,Colombia
724,Argentina
725,Argentina
726,Angola
727,Germany
728,Netherlands
729,Spain
730,Italy
731,Iran
732,Serbia
733,Argentina
734,Colombia
735,Argentina
736,Ivory Coast
737,Argentina
738,Russia
739,Uruguay
740,Russia
741,Uruguay
742,Germany
743,France
744,Spain
745,Colombia
746,Germany
747,Italy
748,Italy
749,Italy
750,Germany
751,Spain
752,Argentina
753,Cape Verde
754,Spain
755,Brazil
756,Netherlands
757,Serbia
758,Brazil
759,Argentina
760,Argentina
761,Germany
762,Serbia
763,England
764,Morocco
765,Morocco
766,France
767,Argentina
768,Netherlands
769,Japan
770,Spain
771,Argentina
772,Portugal
773,France
774,Colombia
775,France
776,Czech Republic
777,Brazil
778,England
779,Brazil
780,Czech Republic
781,England
782,Norway
783,Germany
784,Netherlands
785,Italy
786,France
787,Algeria
788,Brazil
789,Portugal
790,Argentina
791,Italy
792,Brazil
793,Belgium
794,Spain
795,Netherlands
796,Belgium
797,England
798,Sweden
799,Spain
800,Australia
801,Italy
802,Israel
803,Senegal
804,France
805,Argentina
806,France
807,Iceland
808,Scotland
809,Australia
810,England
811,Spain
812,Tunisia
813,Spain
814,Portugal
815,Paraguay
816,Paraguay
817,Italy
818,Denmark
819,Germany
820,Germany
821,Chile
822,Iceland
823,Costa Rica
824,Germany
825,France
826,Spain
827,Spain
828,Spain
829,Ivory Coast
830,Netherlands
831,Brazil
832,Austria
833,Spain
834,Germany
835,Albania
836,Brazil
837,England
838,Austria
839,Portugal
840,Argentina
841,Republic of Ireland
842,Russia
843,Brazil
844,Brazil
845,Serbia
846,Mexico
847,Wales
848,France
849,Switzerland
850,Greece
851,Italy
852,Argentina
853,France
854,Morocco
855,Germany
856,Italy
857,Spain
858,Germany
859,Cameroon
860,Serbia
861,Spain
862,Greece
863,Venezuela
864,Hungary
865,Uruguay
866,Uruguay
867,Uruguay
868,Czech Republic
869,Brazil
870,Russia
871,France
872,Denmark
873,France
874,Netherlands
875,Mexico
876,France
877,Spain
878,Colombia
879,United States
880,Argentina
881,Ghana
882,Colombia
883,Belgium
884,Chile
885,Spain
886,England
887,Spain
888,Senegal
889,Netherlands
890,Portugal
891,Ivory Coast
892,England
893,England
894,Brazil
895,Italy
896,Italy
897,France
898,Serbia
899,Argentina
900,Argentina
901,Brazil
902,Brazil
903,Spain
904,France
905,England
906,Bosnia Herzegovina
907,Spain
908,Italy
909,Germany
910,Belgium
911,Netherlands
912,Argentina
913,Argentina
914,Norway
915,Argentina
916,England
917,Germany
918,Ivory Coast
919,England
920,Netherlands
921,Argentina
922,France
923,Germany
924,Brazil
925,Brazil
926,Brazil
927,Germany
928,Spain
929,Italy
930,Israel
931,Spain
932,Argentina
933,Germany
934,Argentina
935,France
936,England
937,Austria
938,Cameroon
939,Spain
940,England
941,Argentina
942,Croatia
943,Argentina
944,Spain
945,Denmark
946,Argentina
947,France
948,Portugal
949,Ivory Coast
950,Brazil
951,Mexico
952,Spain
953,Germany
954,Austria
955,Netherlands
956,France
957,Germany
958,Spain
959,Mexico
960,Zimbabwe
961,Netherlands
962,Belgium
963,Spain
964,Germany
965,Brazil
966,Austria
967,Belgium
968,Italy
969,Italy
970,Ivory Coast
971,Brazil
972,Croatia
973,Italy
974,Montenegro
975,Brazil
976,Turkey
